,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
856,7336.0,Services,Commercial Art and Graphic Design,#FF0069,7336.0,368.0,0.0005174331379367073,0.05,Commercial Art and Graphic Design (0.05%)
48,782.0,"Agriculture, Forestry, Fishing, Mining",Lawn and Garden Services,#698705,782.0,365.0,0.0005132149330078754,0.05,Lawn and Garden Services (0.05%)
573,3999.0,Manufacturing,"Manufacturing Industries, Not Elsewhere Classified",#0072FF,3999.0,361.0,0.0005075906597694329,0.05,"Manufacturing Industries, Not Elsewhere Classified (0.05%)"
769,5992.0,Retail and wholesale trade,Florists,#FF9BCD,5992.0,357.0,0.0005019663865309904,0.05,Florists (0.05%)
854,7334.0,Services,Photocopying and Duplicating Services,#FF0069,7334.0,350.0,0.0004921239083637161,0.05,Photocopying and Duplicating Services (0.05%)
996,9611.0,Public Administration,Administration of General Economic Programs,#CD7CA4,9611.0,350.0,0.0004921239083637161,0.05,Administration of General Economic Programs (0.05%)
728,5541.0,Retail and wholesale trade,Gasoline Service Stations,#FF9BCD,5541.0,347.0,0.00048790570343488425,0.05,Gasoline Service Stations (0.05%)
788,6141.0,"Finance, Insurance, And Real Estate",Personal Credit Institutions,#FFFF00,6141.0,345.0,0.00048509356681566306,0.05,Personal Credit Institutions (0.05%)
869,7375.0,Services,Information Retrieval Services,#FF0069,7375.0,343.0,0.0004822814301964418,0.05,Information Retrieval Services (0.05%)
889,7538.0,Services,General Automotive Repair Shops,#FF0069,7538.0,328.0,0.00046119040555228256,0.05,General Automotive Repair Shops (0.05%)
789,6153.0,"Finance, Insurance, And Real Estate","Short-Term Business Credit Institutions, Except Agricultural",#FFFF00,6153.0,322.0,0.00045275399569461884,0.05,"Short-Term Business Credit Institutions, Except Agricultural (0.05%)"
812,6519.0,"Finance, Insurance, And Real Estate","Lessors of Real Property, Not Elsewhere Classified",#FFFF00,6519.0,314.0,0.0004415054492177339,0.04,"Lessors of Real Property, Not Elsewhere Classified (0.04%)"
786,6099.0,"Finance, Insurance, And Real Estate","Functions Related to Depository Banking, Not Elsewhere Classified",#FFFF00,6099.0,311.0,0.00043728724428890206,0.04,"Functions Related to Depository Banking, Not Elsewhere Classified (0.04%)"
693,5148.0,Retail and wholesale trade,Fresh Fruits and Vegetables,#FF9BCD,5148.0,311.0,0.00043728724428890206,0.04,Fresh Fruits and Vegetables (0.04%)
745,5731.0,Retail and wholesale trade,"Radio, Television, and Consumer Electronics Stores",#FF9BCD,5731.0,302.0,0.0004246326295024065,0.04,"Radio, Television, and Consumer Electronics Stores (0.04%)"
323,3081.0,Manufacturing,Unsupported Plastics Film and Sheet,#0072FF,3081.0,300.0,0.00042182049288318527,0.04,Unsupported Plastics Film and Sheet (0.04%)
625,4841.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Cable and Other Pay Television Services,#C3FF00,4841.0,297.0,0.0004176022879543534,0.04,Cable and Other Pay Television Services (0.04%)
664,5074.0,Retail and wholesale trade,Plumbing and Heating Equipment and Supplies (Hydronics),#FF9BCD,5074.0,294.0,0.00041338408302552156,0.04,Plumbing and Heating Equipment and Supplies (Hydronics) (0.04%)
584,4212.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Local Trucking Without Storage,#C3FF00,4212.0,292.0,0.0004105719464063003,0.04,Local Trucking Without Storage (0.04%)
908,7911.0,Services,"Dance Studios, Schools, and Halls",#FF0069,7911.0,288.0,0.00040494767316785784,0.04,"Dance Studios, Schools, and Halls (0.04%)"
986,9229.0,Public Administration,"Public Order and Safety, Not Elsewhere Classified",#CD7CA4,9229.0,286.0,0.0004021355365486366,0.04,"Public Order and Safety, Not Elsewhere Classified (0.04%)"
787,6111.0,"Finance, Insurance, And Real Estate",Federal and Federally-Sponsored Credit Agencies,#FFFF00,6111.0,286.0,0.0004021355365486366,0.04,Federal and Federally-Sponsored Credit Agencies (0.04%)
928,8052.0,Services,Intermediate Care Facilities,#FF0069,8052.0,284.0,0.00039932339992941536,0.04,Intermediate Care Facilities (0.04%)
619,4789.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Transportation Services, Not Elsewhere Classified",#C3FF00,4789.0,282.0,0.0003965112633101941,0.04,"Transportation Services, Not Elsewhere Classified (0.04%)"
529,3731.0,Manufacturing,Ship Building and Repairing,#0072FF,3731.0,280.0,0.0003936991266909729,0.04,Ship Building and Repairing (0.04%)
724,5499.0,Retail and wholesale trade,Miscellaneous Food Stores,#FF9BCD,5499.0,277.0,0.00038948092176214105,0.04,Miscellaneous Food Stores (0.04%)
861,7353.0,Services,Heavy Construction Equipment Rental and Leasing,#FF0069,7353.0,273.0,0.0003838566485236986,0.04,Heavy Construction Equipment Rental and Leasing (0.04%)
639,4961.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Steam and Air-Conditioning Supply,#C3FF00,4961.0,273.0,0.0003838566485236986,0.04,Steam and Air-Conditioning Supply (0.04%)
803,6361.0,"Finance, Insurance, And Real Estate",Title Insurance,#FFFF00,6361.0,271.0,0.00038104451190447734,0.04,Title Insurance (0.04%)
637,4953.0,"Transportation, Communications, Electric, Gas, And Sanitary Services",Refuse Systems,#C3FF00,4953.0,271.0,0.00038104451190447734,0.04,Refuse Systems (0.04%)
276,2759.0,Manufacturing,"Commercial Printing, Not Elsewhere Classified",#0072FF,2759.0,270.0,0.00037963844359486674,0.04,"Commercial Printing, Not Elsewhere Classified (0.04%)"
682,5131.0,Retail and wholesale trade,"Piece Goods, Notions, and Other Dry Good",#FF9BCD,5131.0,265.0,0.0003726081020468136,0.04,"Piece Goods, Notions, and Other Dry Good (0.04%)"
104,1751.0,Construction,Carpentry Work,#696969,1751.0,262.0,0.0003683898971179818,0.04,Carpentry Work (0.04%)
911,7933.0,Services,Bowling Centers,#FF0069,7933.0,258.0,0.0003627656238795393,0.04,Bowling Centers (0.04%)
743,5719.0,Retail and wholesale trade,Miscellaneous home furnishings Stores,#FF9BCD,5719.0,256.0,0.0003599534872603181,0.04,Miscellaneous home furnishings Stores (0.04%)
946,8249.0,Services,"Vocational Schools, Not Elsewhere Classified",#FF0069,8249.0,253.0,0.00035573528233148624,0.04,"Vocational Schools, Not Elsewhere Classified (0.04%)"
274,2752.0,Manufacturing,"Commercial Printing, Lithographic",#0072FF,2752.0,252.0,0.0003543292140218756,0.04,"Commercial Printing, Lithographic (0.04%)"
600,4489.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Water Transportation of Passengers, Not Elsewhere Classified",#C3FF00,4489.0,252.0,0.0003543292140218756,0.04,"Water Transportation of Passengers, Not Elsewhere Classified (0.04%)"
